autohomeid,min_reg_year,max_reg_year
18,2002,2006
40,2002,2006
41,2002,2006
60,2002,2006
61,2002,2006
62,2002,2006
66,2002,2006
68,2001,2005
115,2003,2007
125,2002,2006
126,2002,2006
132,2002,2006
133,2002,2006
134,2002,2006
144,2002,2006
145,2002,2006
146,2002,2006
147,2002,2006
148,2002,2006
149,2002,2006
165,2002,2006
169,2002,2006
171,2002,2006
182,2002,2006
185,2002,2006
186,2002,2006
187,2002,2006
189,2002,2006
190,2002,2006
191,2002,2006
193,2002,2006
198,2002,2006
199,2002,2006
200,2002,2006
203,2002,2006
209,2002,2006
210,2002,2006
217,2002,2006
225,2002,2006
226,2002,2006
227,2002,2006
228,2002,2006
230,2002,2006
231,2002,2006
232,2002,2006
233,2002,2006
236,2002,2006
237,2002,2006
239,2002,2006
242,2002,2006
246,2002,2006
248,2002,2006
250,2002,2006
252,2002,2006
258,2002,2006
259,2002,2006
260,2002,2006
261,2002,2006
262,2002,2006
264,2004,2008
267,2004,2008
268,2004,2008
272,2002,2006
274,2002,2006
275,2002,2006
276,2002,2006
279,2002,2006
280,2002,2006
281,2002,2006
283,2002,2006
296,2002,2006
297,2002,2006
303,2002,2006
304,2002,2006
306,2002,2006
307,2002,2006
311,2002,2006
316,2002,2006
317,2002,2006
318,2002,2006
319,2002,2006
320,2002,2006
321,2002,2006
322,2002,2006
323,2002,2006
325,2002,2006
326,2002,2006
327,2002,2006
329,2002,2006
331,2002,2006
332,2002,2006
333,2002,2006
335,2003,2007
338,2002,2006
339,2002,2006
341,2002,2006
342,2002,2006
343,2003,2007
345,2002,2006
349,2002,2006
363,2002,2006
367,2002,2006
376,2002,2006
382,2002,2006
383,2002,2006
384,2002,2006
385,2002,2006
387,2002,2006
390,2002,2006
391,2002,2006
392,2002,2006
399,2002,2006
405,2000,2004
406,2000,2004
410,2002,2006
411,2004,2008
412,2002,2006
413,2002,2006
414,2002,2006
415,2002,2006
416,2003,2007
419,2004,2008
422,2002,2006
423,2003,2007
426,2003,2007
430,2002,2006
431,2002,2006
432,2002,2006
433,2002,2006
438,2002,2006
439,2002,2006
440,2002,2006
441,2002,2006
442,2002,2006
454,2002,2006
456,2002,2006
466,2002,2006
467,2002,2006
468,2002,2006
472,2002,2006
473,2002,2006
474,2003,2007
476,2002,2006
478,2002,2006
479,2002,2006
480,2002,2006
481,2002,2006
485,2002,2006
486,2002,2006
499,2002,2006
501,2004,2008
506,2002,2006
515,2002,2006
516,2002,2006
518,2002,2006
519,2002,2006
521,2002,2006
524,2002,2006
534,2002,2006
538,2002,2006
539,2002,2006
540,2002,2006
543,2002,2006
546,2002,2006
547,2002,2006
548,2002,2006
550,2002,2006
551,2003,2007
552,2002,2006
553,2004,2008
554,2002,2006
555,2002,2006
557,2002,2006
563,2002,2006
572,2002,2006
574,2002,2006
577,2002,2006
578,2004,2008
579,2004,2008
580,2002,2006
590,2002,2006
591,2002,2006
593,2002,2006
594,2002,2006
595,2002,2006
596,2002,2006
597,2002,2006
601,2002,2006
603,2002,2006
604,2002,2006
605,2002,2006
606,2002,2006
609,2002,2006
611,2002,2006
612,2002,2006
615,2002,2006
616,2002,2006
617,2002,2006
618,2002,2006
619,2002,2006
621,2002,2006
622,2002,2006
624,2002,2006
625,2002,2006
627,2002,2006
628,2002,2006
631,2002,2006
634,2002,2006
636,2002,2006
637,2002,2006
638,2002,2006
639,2002,2006
640,2002,2006
641,2002,2006
642,2002,2006
643,2002,2006
644,2002,2006
646,2002,2006
647,2002,2006
648,2002,2006
649,2002,2006
650,2002,2006
671,2002,2006
675,2002,2006
676,2002,2006
677,2002,2006
678,2002,2006
699,2002,2006
702,2002,2006
703,2002,2006
710,2003,2007
711,2003,2007
712,2002,2006
713,2002,2006
714,2002,2006
716,2002,2006
724,2002,2006
727,2002,2006
728,2002,2006
733,2002,2006
744,2002,2006
745,2002,2006
746,2002,2006
747,2002,2006
749,2002,2006
750,2002,2006
753,2002,2006
754,2002,2006
755,2002,2006
756,2002,2006
757,2002,2006
758,2002,2006
759,2002,2006
760,2002,2006
761,2002,2006
762,2002,2006
763,2002,2006
764,2002,2006
765,2002,2006
766,2002,2006
769,2002,2006
770,2002,2006
771,2002,2006
772,2002,2006
774,2002,2006
775,2002,2006
779,2002,2006
780,2002,2006
792,2003,2007
793,2003,2007
794,2002,2006
795,2002,2006
798,2002,2006
799,2002,2006
804,2002,2006
805,2002,2006
806,2002,2006
807,2002,2006
821,2002,2006
823,2002,2006
824,2003,2007
825,2002,2006
826,2002,2006
827,2002,2006
828,2002,2006
829,2002,2006
830,2002,2006
831,2002,2006
835,2002,2006
836,2002,2006
837,2002,2006
838,2002,2006
839,2002,2006
854,2002,2006
869,2002,2006
870,2002,2006
874,2002,2006
876,2002,2006
880,2002,2006
897,2002,2006
900,2002,2006
901,2002,2006
902,2002,2006
906,2002,2006
907,2002,2006
912,2002,2006
916,2002,2006
919,2002,2006
920,2002,2006
921,2002,2006
